Date,Weight,Exercise,Training,Reading,Gaming,Food
2026-5-11,183.0,weight training,MLOps Fundamentals,The Martian (finished),Factorio,"chicken soup, whole wheat roll"
2026-5-10,183.6,weight training,"AWS Solutions Architect, MLOps Fundamentals",The Martian,pinball,"turkey meatballs, zucchini noodles, marinara"
2026-5-9,183.5,35 minute walk,AWS Solutions Architect,The Martian,Noita,"chicken sandwich, fries, diet soda"
2026-5-8,183.3,30 minute walk,AWS Solutions Architect,The Martian,"pinball, Tetris, Darkest Dungeon","grilled chicken, roasted vegetables, brown rice"
2026-5-7,183.5,30 minute walk,"MLOps Fundamentals, AWS Solutions Architect",The Martian,,"double bacon cheeseburger, onion rings, root beer float"
2026-5-6,183.9,soccer,"MLOps Fundamentals, AWS Solutions Architect",The Martian,"Noita, Hollow Knight","poke bowl, seaweed salad"
2026-5-5,184.4,swimming,"AWS Solutions Architect, MLOps Fundamentals",The Martian,Return of the Obra Dinn,"chicken breast, roasted Brussels sprouts, brown rice, rice cakes"
2026-5-4,184.6,30 minute walk,"AWS Solutions Architect, MLOps Fundamentals",The Martian,"Wordle, Hollow Knight","chicken stir fry, broccoli, rice, protein bar"
2026-5-3,184.6,30 minute bike,"AWS Solutions Architect, MLOps Fundamentals",The Martian,Hades,"BLT, sweet potato fries"
2026-5-2,185.2,"hiking, 30 minute walk",AWS Solutions Architect,The Martian,"Balatro, Wordle","burrito bowl, chips and salsa"
2026-5-1,185.3,rest day,"MLOps Fundamentals, AWS Solutions Architect",The Martian,,"double bacon cheeseburger, onion rings, root beer float"
2026-4-30,185.8,30 minute walk,"AWS Solutions Architect, MLOps Fundamentals",The Martian,"Tetris, pinball, Return of the Obra Dinn","cottage cheese, berries, almonds"
2026-4-29,185.9,rest day,MLOps Fundamentals,All the Light We Cannot See (finished),"Cobalt Core, Noita","oatmeal, blueberries, black coffee, rice cakes"
2026-4-28,185.7,weight training,AWS Solutions Architect,All the Light We Cannot See,,"double bacon cheeseburger, onion rings, root beer float"
2026-4-27,185.7,35 minute walk,AWS Solutions Architect,All the Light We Cannot See,"Disco Elysium, Hollow Knight","grilled chicken, roasted vegetables, brown rice, protein bar"
2026-4-26,186.1,weight training,"AWS Solutions Architect, MLOps Fundamentals",All the Light We Cannot See,"Celeste, Hades","pasta carbonara, tiramisu, wine"
2026-4-25,186.7,rest day,"MLOps Fundamentals, AWS Solutions Architect",All the Light We Cannot See,"pinball, Slay the Spire","cheeseburger, side salad"
2026-4-24,186.3,swimming,AWS Solutions Architect,All the Light We Cannot See,"Noita, Balatro","chicken soup, whole wheat roll, banana"
2026-4-23,186.7,35 minute walk,AWS Solutions Architect,All the Light We Cannot See,Tetris,"pizza (2 slices), Caesar salad"
2026-4-22,186.6,35 minute walk,MLOps Fundamentals,All the Light We Cannot See,Hollow Knight,"cheeseburger, side salad"
2026-4-21,186.5,"30 minute walk, 30 minute bike","MLOps Fundamentals, AWS Solutions Architect",All the Light We Cannot See,"Disco Elysium (finished), Factorio","grilled salmon, green beans, sweet potato"
2026-4-20,186.3,weight training,MLOps Fundamentals,All the Light We Cannot See,Celeste,"cheeseburger, side salad"
2026-4-19,,yoga,AWS Solutions Architect,All the Light We Cannot See,Cobalt Core,"oatmeal, blueberries, black coffee"
2026-4-18,185.4,treadmill run,AWS Solutions Architect,All the Light We Cannot See,"Factorio, pinball, Hollow Knight","pulled pork sandwich, coleslaw, baked beans, cornbread"
2026-4-17,185.1,30 minute walk,"MLOps Fundamentals, AWS Solutions Architect",All the Light We Cannot See,"Factorio, Vampire Survivors","chicken stir fry, broccoli, rice"
2026-4-16,184.9,30 minute walk,AWS Solutions Architect,All the Light We Cannot See,Cobalt Core,"burrito bowl, chips and salsa, chocolate chip cookie"
2026-4-15,184.5,weight training,"MLOps Fundamentals, AWS Solutions Architect",All the Light We Cannot See,Dead Cells,"chicken sandwich, fries, diet soda"
2026-4-14,185.0,weight training,MLOps Fundamentals,All the Light We Cannot See,"Celeste, Into the Breach","chicken stir fry, broccoli, rice"
2026-4-13,185.0,30 minute bike,MLOps Fundamentals,All the Light We Cannot See,"Tetris, Into the Breach, Slay the Spire","pasta carbonara, tiramisu, wine"
2026-4-12,185.5,weight training,"AWS Solutions Architect, MLOps Fundamentals",All the Light We Cannot See,Dead Cells,"cottage cheese, berries, almonds, banana"
2026-4-11,185.7,"hiking, soccer","MLOps Fundamentals, AWS Solutions Architect",All the Light We Cannot See,"Darkest Dungeon, Disco Elysium","double cheeseburger, large fries, milkshake"
2026-4-10,185.6,basketball,"Deep Learning Fundamentals, AWS Solutions Architect",All the Light We Cannot See,"Hades, Disco Elysium, Return of the Obra Dinn","shrimp and vegetables, brown rice, string cheese"
2026-4-9,185.2,weight training,AWS Solutions Architect,All the Light We Cannot See,Tetris,"fish and chips, tartar sauce, beer"
2026-4-8,184.8,"30 minute walk, treadmill run","Deep Learning Fundamentals, AWS Solutions Architect",All the Light We Cannot See,pinball,"turkey wrap, apple, Greek yogurt"
2026-4-7,184.6,30 minute bike,"AWS Solutions Architect, Deep Learning Fundamentals",All the Light We Cannot See,Noita,"sushi rolls, miso soup, edamame"
2026-4-6,184.4,30 minute walk,Deep Learning Fundamentals,Educated (finished),Stardew Valley,"grilled salmon, green beans, sweet potato"
2026-4-5,184.2,rest day,AWS Solutions Architect,Educated,Hollow Knight,"chicken burrito, rice and beans"
2026-4-4,184.4,45 minute walk,AWS Solutions Architect,Educated,"pinball, Return of the Obra Dinn","breakfast sandwich, hash browns, donut, large coffee"
2026-4-3,184.7,swimming,"AWS Solutions Architect, Deep Learning Fundamentals",Educated,,"cheeseburger, side salad"
2026-4-2,184.7,30 minute walk,AWS Solutions Architect,Educated,Noita,"BLT, sweet potato fries"
2026-4-1,184.6,elliptical,"Deep Learning Fundamentals, AWS Solutions Architect",Educated,"Into the Breach, chess.com","double bacon cheeseburger, onion rings, root beer float"
2026-3-31,184.8,35 minute walk,"Deep Learning Fundamentals, AWS Solutions Architect",Educated,"Disco Elysium, Balatro","nachos, chicken wings, loaded fries"
2026-3-30,185.1,yoga,"Deep Learning Fundamentals, AWS Solutions Architect",Educated,,"oatmeal, blueberries, black coffee"
2026-3-29,185.5,elliptical,Deep Learning Fundamentals,Educated,"Disco Elysium, Wordle","turkey meatballs, zucchini noodles, marinara, rice cakes"
2026-3-28,185.3,swimming,"AWS Solutions Architect, Deep Learning Fundamentals",Educated,"Noita, Tetris","pad thai, spring rolls"
2026-3-27,185.2,30 minute walk,Deep Learning Fundamentals,Educated,"Balatro, Factorio","chicken sandwich, fries, diet soda, chocolate chip cookie"
2026-3-26,184.7,30 minute bike,"AWS Solutions Architect, Deep Learning Fundamentals",Educated,Dead Cells,"grilled salmon, green beans, sweet potato"
2026-3-25,184.7,rest day,"Deep Learning Fundamentals, AWS Solutions Architect",Educated,Stardew Valley,"pizza (2 slices), Caesar salad"
2026-3-24,184.9,jump rope,AWS Solutions Architect,Educated,Stardew Valley,"oatmeal, blueberries, black coffee"
2026-3-23,185.4,30 minute bike,"Deep Learning Fundamentals, AWS Solutions Architect",Educated,"chess.com, Celeste","poke bowl, seaweed salad"
